SWFREQ,DEADTIME,Lr,Cr,Ii,target_vin,solar_voc,Vout,Illum
80k,20n,10u,0.5n,5,70,80,90,900
80k,20n,10u,0.5n,5,60,70,90,900
80k,20n,10u,0.5n,5,50,60,90,900
80k,20n,10u,0.5n,5,40,50,90,900
80k,20n,10u,0.5n,5,30,40,90,900
80k,20n,10u,0.5n,5,70,80,100,900
80k,20n,10u,0.5n,5,60,70,100,900
80k,20n,10u,0.5n,5,50,60,100,900
80k,20n,10u,0.5n,5,40,50,100,900
80k,20n,10u,0.5n,5,30,40,100,900
80k,20n,10u,0.5n,5,70,80,120,900
80k,20n,10u,0.5n,5,60,70,120,900
80k,20n,10u,0.5n,5,50,60,120,900
80k,20n,10u,0.5n,5,40,50,120,900
80k,20n,10u,0.5n,5,30,40,120,900
80k,20n,10u,0.5n,5,70,80,130,900
80k,20n,10u,0.5n,5,60,70,130,900
80k,20n,10u,0.5n,5,50,60,130,900
80k,20n,10u,0.5n,5,40,50,130,900
80k,20n,10u,0.5n,5,30,40,130,900
80k,20n,10u,0.5n,5,70,80,140,900
80k,20n,10u,0.5n,5,60,70,140,900
80k,20n,10u,0.5n,5,50,60,140,900
80k,20n,10u,0.5n,5,40,50,140,900
80k,20n,10u,0.5n,5,30,40,140,900
80k,20n,10u,0.5n,5,70,80,150,900
80k,20n,10u,0.5n,5,60,70,150,900
80k,20n,10u,0.5n,5,50,60,150,900
80k,20n,10u,0.5n,5,40,50,150,900
80k,20n,10u,0.5n,5,30,40,150,900
80k,20n,10u,0.5n,4.2,70,80,90,700
80k,20n,10u,0.5n,4.2,60,70,90,700
80k,20n,10u,0.5n,4.2,50,60,90,700
80k,20n,10u,0.5n,4.2,40,50,90,700
80k,20n,10u,0.5n,4.2,30,40,90,700
80k,20n,10u,0.5n,4.2,70,80,100,700
80k,20n,10u,0.5n,4.2,60,70,100,700
80k,20n,10u,0.5n,4.2,50,60,100,700
80k,20n,10u,0.5n,4.2,40,50,100,700
80k,20n,10u,0.5n,4.2,30,40,100,700
80k,20n,10u,0.5n,4.2,70,80,120,700
80k,20n,10u,0.5n,4.2,60,70,120,700
80k,20n,10u,0.5n,4.2,50,60,120,700
80k,20n,10u,0.5n,4.2,40,50,120,700
80k,20n,10u,0.5n,4.2,30,40,120,700
80k,20n,10u,0.5n,4.2,70,80,130,700
80k,20n,10u,0.5n,4.2,60,70,130,700
80k,20n,10u,0.5n,4.2,50,60,130,700
80k,20n,10u,0.5n,4.2,40,50,130,700
80k,20n,10u,0.5n,4.2,30,40,130,700
80k,20n,10u,0.5n,4.2,70,80,140,700
80k,20n,10u,0.5n,4.2,60,70,140,700
80k,20n,10u,0.5n,4.2,50,60,140,700
80k,20n,10u,0.5n,4.2,40,50,140,700
80k,20n,10u,0.5n,4.2,30,40,140,700
80k,20n,10u,0.5n,4.2,70,80,150,700
80k,20n,10u,0.5n,4.2,60,70,150,700
80k,20n,10u,0.5n,4.2,50,60,150,700
80k,20n,10u,0.5n,4.2,40,50,150,700
80k,20n,10u,0.5n,4.2,30,40,150,700
80k,20n,10u,0.5n,3,70,80,90,500
80k,20n,10u,0.5n,3,60,70,90,500
80k,20n,10u,0.5n,3,50,60,90,500
80k,20n,10u,0.5n,3,40,50,90,500
80k,20n,10u,0.5n,3,30,40,90,500
80k,20n,10u,0.5n,3,70,80,100,500
80k,20n,10u,0.5n,3,60,70,100,500
80k,20n,10u,0.5n,3,50,60,100,500
80k,20n,10u,0.5n,3,40,50,100,500
80k,20n,10u,0.5n,3,30,40,100,500
80k,20n,10u,0.5n,3,70,80,120,500
80k,20n,10u,0.5n,3,60,70,120,500
80k,20n,10u,0.5n,3,50,60,120,500
80k,20n,10u,0.5n,3,40,50,120,500
80k,20n,10u,0.5n,3,30,40,120,500
80k,20n,10u,0.5n,3,70,80,130,500
80k,20n,10u,0.5n,3,60,70,130,500
80k,20n,10u,0.5n,3,50,60,130,500
80k,20n,10u,0.5n,3,40,50,130,500
80k,20n,10u,0.5n,3,30,40,130,500
80k,20n,10u,0.5n,3,70,80,140,500
80k,20n,10u,0.5n,3,60,70,140,500
80k,20n,10u,0.5n,3,50,60,140,500
80k,20n,10u,0.5n,3,40,50,140,500
80k,20n,10u,0.5n,3,30,40,140,500
80k,20n,10u,0.5n,3,70,80,150,500
80k,20n,10u,0.5n,3,60,70,150,500
80k,20n,10u,0.5n,3,50,60,150,500
80k,20n,10u,0.5n,3,40,50,150,500
80k,20n,10u,0.5n,3,30,40,150,500
80k,20n,10u,0.5n,1.8,70,80,90,300
80k,20n,10u,0.5n,1.8,60,70,90,300
80k,20n,10u,0.5n,1.8,50,60,90,300
80k,20n,10u,0.5n,1.8,40,50,90,300
80k,20n,10u,0.5n,1.8,30,40,90,300
80k,20n,10u,0.5n,1.8,70,80,100,300
80k,20n,10u,0.5n,1.8,60,70,100,300
80k,20n,10u,0.5n,1.8,50,60,100,300
80k,20n,10u,0.5n,1.8,40,50,100,300
80k,20n,10u,0.5n,1.8,30,40,100,300
80k,20n,10u,0.5n,1.8,70,80,120,300
80k,20n,10u,0.5n,1.8,60,70,120,300
80k,20n,10u,0.5n,1.8,50,60,120,300
80k,20n,10u,0.5n,1.8,40,50,120,300
80k,20n,10u,0.5n,1.8,30,40,120,300
80k,20n,10u,0.5n,1.8,70,80,130,300
80k,20n,10u,0.5n,1.8,60,70,130,300
80k,20n,10u,0.5n,1.8,50,60,130,300
80k,20n,10u,0.5n,1.8,40,50,130,300
80k,20n,10u,0.5n,1.8,30,40,130,300
80k,20n,10u,0.5n,1.8,70,80,140,300
80k,20n,10u,0.5n,1.8,60,70,140,300
80k,20n,10u,0.5n,1.8,50,60,140,300
80k,20n,10u,0.5n,1.8,40,50,140,300
80k,20n,10u,0.5n,1.8,30,40,140,300
80k,20n,10u,0.5n,1.8,70,80,150,300
80k,20n,10u,0.5n,1.8,60,70,150,300
80k,20n,10u,0.5n,1.8,50,60,150,300
80k,20n,10u,0.5n,1.8,40,50,150,300
80k,20n,10u,0.5n,1.8,30,40,150,300
